PAC-0.5KOH-750-0.5,
X,Y
-0.0027 , 152.4986
-0.0034 , 138.9250
-0.0032 , 114.1505
-0.0034 , 98.6034
-0.0027 , 82.3551
-0.0035 , 66.3946
-0.0025 , 51.0444
-0.0030 , 35.5212
-0.0021 , 18.0960
-0.0036 , 7.8277
-0.0020 , 167.3578
-0.0018 , 128.3494
0.0102 , 179.8233
0.0274 , 191.9454
0.0542 , 196.2613
0.0807 , 198.6357
0.1073 , 200.8778
0.1339 , 202.6923
0.1605 , 203.4177
0.1871 , 204.4077
0.2146 , 204.9134
0.2403 , 204.9933
0.2694 , 206.0935
0.2935 , 206.7189
0.3201 , 207.2000
0.3467 , 207.2282
0.3733 , 208.4065
0.3986 , 208.3105
0.4265 , 208.2083
0.4521 , 209.0823
0.4797 , 209.6591
0.5061 , 208.7715
0.5329 , 209.2187
0.5601 , 209.1586
0.5860 , 209.5070
0.6136 , 209.5959
0.6392 , 209.8687
0.6675 , 210.6541
0.6924 , 211.1246
0.7231 , 211.3445
0.7484 , 211.7759
0.7763 , 212.6731
0.8029 , 212.9507
0.8295 , 214.3031
0.8555 , 214.0652
0.8825 , 214.8602
0.9099 , 216.0765
0.9359 , 217.3410
0.9625 , 220.9620
0.9848 , 226.6389
0.9972 , 234.9468
