CF-0.5-400,
X,Y
0.0097 , 246.4291
0.1702 , 349.8096
0.2304 , 361.2822
0.3013 , 368.9305
0.3246 , 371.9899
0.3499 , 372.7547
0.3907 , 375.0492
0.4023 , 375.4317
0.4519 , 378.1086
0.4723 , 378.3380
0.4898 , 379.6383
0.5102 , 379.7232
0.5587 , 382.6126
0.5927 , 382.6976
0.6083 , 382.6976
0.6500 , 384.2273
0.7015 , 385.7570
0.7151 , 385.7570
0.7510 , 385.7570
0.7705 , 387.2866
0.7909 , 387.2866
0.8103 , 387.2866
0.8404 , 387.2866
0.8715 , 388.8163
0.9113 , 388.8163
0.9336 , 388.9013
0.9599 , 390.3460
0.9793 , 390.5754
0.9948 , 391.1108
0.0593 , 306.2500
0.0944 , 325.0000
0.0751 , 316.9643
0.1126 , 332.1429
0.1285 , 339.2857
