4h,
X,Y
0.9913 , 85.4830
0.9798 , 83.4746
0.9694 , 82.3459
0.9601 , 81.0911
0.9462 , 79.9632
0.9202 , 78.9641
0.8942 , 77.5879
0.8717 , 76.5879
0.8497 , 75.5878
0.7954 , 74.0929
0.7445 , 73.1001
0.6960 , 72.7351
0.6445 , 70.8625
0.5954 , 69.9949
0.5451 , 68.7504
0.4948 , 66.8775
0.4468 , 65.3811
0.3971 , 64.6393
0.3462 , 63.1436
0.2948 , 61.6481
0.2699 , 60.5230
0.2486 , 59.3970
0.2208 , 58.1469
0.1948 , 57.2735
0.1711 , 55.8966
0.1468 , 53.1372
0.1208 , 48.9954
0.0948 , 43.3451
0.0763 , 40.0814
0.0474 , 30.2835
