RS-3,
X,Y
0.0084 , 169.5071
0.0036 , 160.6707
0.0465 , 241.7218
0.0702 , 259.2386
0.0794 , 270.2634
0.1020 , 282.7434
0.1190 , 292.1315
0.1434 , 302.0956
0.1694 , 312.5403
0.1933 , 320.2021
0.2177 , 326.4747
0.2433 , 333.4059
0.2688 , 339.1972
0.2933 , 344.0507
0.3182 , 348.5219
0.3433 , 353.4797
0.3689 , 358.4087
0.3932 , 362.0972
0.4182 , 365.2905
0.4432 , 369.9893
0.4681 , 374.8548
0.4931 , 378.5175
0.5181 , 382.6281
0.5431 , 386.8717
0.5688 , 391.3580
0.5920 , 395.1167
0.6180 , 398.0825
0.6430 , 402.2453
0.6680 , 407.6785
0.6930 , 409.9523
0.7180 , 414.1744
0.7429 , 417.8880
0.7679 , 421.9928
0.7929 , 424.3808
0.8179 , 428.3368
0.8429 , 429.9285
0.8679 , 431.7712
0.8924 , 432.5025
0.9178 , 434.7354
0.9428 , 436.0491
0.9678 , 439.2034
0.9895 , 440.8049
