F2-74,
X,Y
0.9577 , 18.5006
0.9110 , 18.4838
0.8802 , 18.3710
0.8341 , 18.3382
0.7982 , 18.3055
0.7611 , 18.2888
0.7239 , 18.2401
0.6855 , 18.2235
0.6489 , 18.1908
0.6060 , 18.1259
0.5708 , 18.1093
0.5362 , 18.0606
0.4958 , 18.0279
0.4568 , 17.9630
0.4299 , 17.9145
0.3895 , 17.8657
0.3453 , 17.7847
0.2998 , 17.6396
0.2550 , 17.4303
0.2082 , 17.1407
0.1999 , 17.0764
0.1922 , 17.0281
0.1839 , 16.9317
0.1762 , 16.8674
0.1666 , 16.7870
0.1576 , 16.6585
0.1486 , 16.5460
0.1397 , 16.4496
0.1313 , 16.3051
0.1224 , 16.1605
0.1140 , 16.0160
0.1051 , 15.8553
0.0967 , 15.6627
0.0884 , 15.4539
0.0801 , 15.2452
0.0717 , 15.0204
0.0634 , 14.7796
0.0532 , 14.4264
0.0442 , 14.0732
0.0327 , 13.5275
0.0205 , 12.8854
0.0173 , 12.5645
0.0141 , 12.3077
0.0109 , 12.0027
0.0090 , 11.7299
0.0058 , 11.2645
0.0032 , 10.9436
0.0032 , 10.6066
0.0019 , 10.3017
0.0013 , 9.9647
0.0000 , 9.4833
0.0000 , 9.1303
