200AC,
X,Y
0.9931 , 123.6462
0.9826 , 119.5529
0.9681 , 116.3677
0.9352 , 114.7694
0.8904 , 114.0774
0.8365 , 113.3833
0.7930 , 113.3734
0.7378 , 113.1336
0.6930 , 112.8961
0.6378 , 112.4290
0.5917 , 112.1913
0.5378 , 111.7245
0.4930 , 111.7143
0.4378 , 111.0199
0.3904 , 110.7819
0.3430 , 110.0893
0.3022 , 109.8528
0.2654 , 109.3899
0.2285 , 108.9269
0.2088 , 108.4679
0.1693 , 108.0044
0.1443 , 106.8623
0.1219 , 106.4027
0.1022 , 105.7164
0.0759 , 104.5741
0.0456 , 102.7490
0.0271 , 100.6994
0.0140 , 97.9691
0.0113 , 95.0139
0.0047 , 92.2852
0.0020 , 89.1027
-0.0006 , 85.2385
0.0007 , 81.1479
0.0006 , 76.8297
0.0006 , 73.4206
