800W,
X,Y
0.0104 , 214.6027
0.0303 , 229.9900
0.0574 , 242.1678
0.0804 , 246.9710
0.1002 , 251.1337
0.1211 , 253.6926
0.1399 , 256.8936
0.1618 , 259.1315
0.1795 , 261.0500
0.2004 , 262.6468
0.2474 , 265.1973
0.2996 , 268.0669
0.3497 , 269.9750
0.3977 , 271.8838
0.4478 , 273.4712
0.4979 , 274.7379
0.5470 , 276.3257
0.5981 , 277.2714
0.6482 , 278.2174
0.6973 , 279.4845
0.7380 , 280.4335
0.7683 , 281.0652
0.7975 , 282.0180
0.8173 , 282.9737
0.8372 , 282.9673
0.8580 , 283.9227
0.8737 , 284.8798
0.8894 , 285.5162
0.9040 , 286.4736
0.9134 , 287.1120
0.9248 , 287.7497
0.9363 , 288.7081
0.9499 , 289.6659
0.9593 , 290.6250
0.9676 , 291.5844
0.9760 , 293.1852
0.9823 , 294.4660
0.9875 , 296.3885
