8min,
X,Y
0.0104 , 202.7492
0.0302 , 221.3595
0.0615 , 233.3233
0.0813 , 238.6405
0.1021 , 242.9607
0.1229 , 246.2840
0.1438 , 249.2749
0.1635 , 251.2689
0.1833 , 253.2628
0.2031 , 254.5921
0.2500 , 257.9154
0.3000 , 260.9063
0.3510 , 263.2326
0.3990 , 265.2266
0.4479 , 267.2205
0.4979 , 268.2175
0.5479 , 269.5468
0.5979 , 271.2085
0.6490 , 272.2054
0.6969 , 273.8671
0.7385 , 274.8640
0.7677 , 275.5287
0.7990 , 276.5257
0.8188 , 277.5227
0.8385 , 278.1873
0.8583 , 278.8520
0.8729 , 279.5166
0.8896 , 280.1813
0.9042 , 281.1782
0.9125 , 281.8429
0.9250 , 282.5076
0.9344 , 283.1722
0.9438 , 283.8369
0.9510 , 284.8338
0.9594 , 285.4985
0.9667 , 286.1631
0.9750 , 287.4924
0.9813 , 288.4894
0.9875 , 289.8187
