K81,
X,Y
0.0000 , 202.5011
0.0200 , 266.8934
0.0400 , 280.7040
0.0600 , 289.0266
0.0800 , 295.2124
0.1000 , 300.8259
0.1200 , 304.9396
0.1400 , 310.0799
0.1600 , 314.2223
0.1800 , 315.4153
0.2000 , 321.7008
0.2200 , 326.2503
0.2400 , 329.2165
0.2600 , 332.4782
0.2800 , 335.8595
0.3000 , 340.1851
0.3200 , 344.2146
0.3400 , 346.2554
0.3600 , 350.0731
0.3800 , 351.3397
0.4000 , 356.7070
0.4200 , 361.9287
0.4400 , 363.4133
0.4600 , 367.3718
0.4800 , 371.8997
0.5000 , 373.3576
0.5200 , 377.5450
0.5400 , 379.9921
0.5600 , 383.3978
0.5800 , 385.9886
0.6000 , 390.0829
0.6200 , 393.8579
0.6400 , 396.7381
0.6600 , 400.0319
0.6800 , 402.5165
0.7000 , 406.7636
0.7200 , 410.8593
0.7400 , 413.4979
0.7600 , 416.7389
0.7800 , 419.7945
0.8000 , 423.4401
0.8200 , 428.4622
0.8400 , 431.0010
0.8600 , 434.4111
0.8800 , 437.6224
0.9000 , 441.7784
0.9200 , 444.9607
0.9400 , 446.7689
0.9600 , 450.1036
0.9800 , 452.6850
1.0000 , 455.7853
0.0074 , 253.8172
0.0012 , 236.1762
