1-1-5,
X,Y
0.9909 , 297.0460
0.9881 , 294.5692
0.9779 , 291.7102
0.9681 , 289.6131
0.9584 , 288.2779
0.9486 , 286.3713
0.9380 , 285.2264
0.9273 , 284.4624
0.9175 , 282.9368
0.9078 , 282.1730
0.8948 , 281.0277
0.8456 , 278.1611
0.7959 , 274.9136
0.7457 , 271.8564
0.6956 , 268.9897
0.6459 , 267.4564
0.5966 , 264.0185
0.5460 , 262.1041
0.4963 , 259.8089
0.4466 , 256.9423
0.3970 , 254.2662
0.3505 , 251.4002
0.3083 , 247.9636
0.2586 , 243.3827
0.2066 , 238.2299
0.1523 , 230.9815
0.1003 , 222.4001
0.0882 , 220.1121
0.0789 , 217.0627
0.0682 , 214.0131
0.0594 , 210.9638
0.0469 , 206.7709
0.0362 , 202.1975
0.0279 , 196.6721
0.0195 , 189.8133
0.0098 , 178.1924
0.0075 , 172.6682
0.0047 , 166.1915
