PAC200-2,
X,Y
0.2334 , 13.8909
0.2502 , 13.9451
0.2717 , 13.9626
0.2888 , 13.9995
0.3063 , 14.0226
0.3674 , 14.1391
0.4294 , 14.2104
0.4942 , 14.2989
0.5553 , 14.3723
0.6173 , 14.4500
0.6811 , 14.5569
0.7431 , 14.6217
0.8051 , 14.7188
0.8671 , 14.8257
0.9291 , 14.9358
0.9930 , 15.1614
0.2179 , 13.8611
0.1978 , 13.8056
0.1799 , 13.7778
0.1609 , 13.6944
0.1430 , 13.6389
0.1251 , 13.6111
0.1084 , 13.5556
0.0883 , 13.4444
0.0726 , 13.3333
0.0525 , 13.1944
0.0380 , 13.0278
0.0190 , 12.6944
0.0078 , 12.1667
