BS-62,
X,Y
0.0010 , 13.8470
0.0039 , 15.9156
0.0097 , 17.1821
0.0136 , 18.0264
0.0185 , 18.5752
0.0243 , 19.1662
0.0292 , 19.6306
0.0341 , 20.0528
0.0389 , 20.3905
0.0438 , 20.7704
0.0497 , 21.1504
0.0555 , 21.5303
0.0604 , 21.7836
0.0652 , 22.0792
0.0789 , 22.6280
0.0886 , 23.0501
0.0964 , 23.3879
0.1207 , 24.0633
0.1461 , 24.6966
0.1685 , 25.1187
0.1986 , 25.5831
0.2220 , 25.8364
0.2473 , 26.0897
0.2726 , 26.3430
0.3213 , 26.7652
0.3476 , 26.9763
0.3720 , 27.1451
0.4255 , 27.5251
0.4479 , 27.6939
0.4771 , 27.8628
0.4956 , 27.9050
0.5258 , 28.1583
0.5492 , 28.2850
0.5725 , 28.3694
0.5949 , 28.4960
0.6203 , 28.5805
0.6495 , 28.7493
0.6719 , 28.7916
0.6952 , 28.9604
0.7205 , 29.0871
0.7459 , 29.1293
0.8160 , 29.4248
0.8598 , 29.5515
