AC-700,
X,Y
-0.0008 , 63.7747
0.0268 , 150.7676
0.0478 , 160.0862
0.0750 , 172.3782
0.0930 , 177.1050
0.1163 , 180.3337
0.1271 , 182.0786
0.1513 , 184.6363
0.1771 , 188.0561
0.2030 , 189.6052
0.2272 , 192.1064
0.2514 , 193.3370
0.2755 , 195.2028
0.2988 , 196.6553
0.3247 , 198.0152
0.3489 , 199.2193
0.3731 , 200.0064
0.3981 , 200.0330
0.4464 , 201.8059
0.4948 , 204.2746
0.5431 , 204.7904
0.5940 , 206.9141
0.6441 , 208.3702
0.6942 , 209.8263
0.7442 , 211.2825
0.7943 , 212.9769
0.8426 , 213.7173
0.8769 , 215.4033
0.8947 , 214.1024
0.9259 , 214.4764
0.9447 , 215.1615
0.9629 , 216.5722
0.9816 , 221.5210
