AC-KG,
X,Y
0.9982 , 220.1828
0.9752 , 218.6162
0.9522 , 217.8329
0.9088 , 215.8747
0.8602 , 215.4830
0.8115 , 215.4830
0.7628 , 215.0914
0.7124 , 214.3081
0.6619 , 213.9164
0.6115 , 213.9164
0.5619 , 213.9164
0.5115 , 213.5248
0.4602 , 213.5248
0.4097 , 213.1332
0.3584 , 212.7415
0.3053 , 212.3499
0.2584 , 211.5666
0.2257 , 211.1749
0.1876 , 210.0000
0.1681 , 208.4334
0.1496 , 208.0418
0.1327 , 207.2585
0.1106 , 205.6919
0.0903 , 204.1253
0.0717 , 199.8172
0.0575 , 197.0757
0.0469 , 193.1593
0.0416 , 191.2010
0.0327 , 187.6762
0.0274 , 183.7598
0.0212 , 179.8433
0.0177 , 175.5352
0.0159 , 171.6188
0.0133 , 166.5274
0.0115 , 161.0444
