Default Dataset,
X,Y
0.9965 , 855.9201
0.9033 , 830.2425
0.8902 , 830.2425
0.8053 , 815.9772
0.7056 , 803.1384
0.6042 , 776.0342
0.4923 , 763.1954
0.4016 , 748.9301
0.3084 , 728.9586
0.2929 , 727.5321
0.2577 , 713.2668
0.2046 , 700.4280
0.1907 , 697.5749
0.1514 , 680.4565
0.1114 , 664.7646
0.1024 , 659.0585
0.0893 , 650.4993
0.0795 , 643.3666
0.0697 , 633.3809
0.0549 , 624.8217
0.0443 , 607.7033
0.0345 , 590.5849
0.0246 , 570.6134
0.0131 , 524.9643
0.0082 , 500.7133
0.0057 , 470.7561
0.0040 , 452.2111
0.0032 , 430.8131
0.0039 , 398.0029
0.0031 , 373.7518
0.0038 , 353.7803
0.0038 , 332.3823
0.0038 , 303.8516
0.0037 , 272.4679
0.0020 , 243.9372
0.0028 , 222.5392
0.0020 , 201.1412
0.0019 , 172.6106
