A-p900,
X,Y
0.0090 , 104.3993
0.0272 , 112.0328
0.0588 , 115.1760
0.0806 , 116.7476
0.1001 , 117.8701
0.1207 , 118.9927
0.1414 , 119.8908
0.1608 , 120.3398
0.1803 , 121.0133
0.1997 , 121.6869
0.2483 , 122.8095
0.2993 , 123.7075
0.3516 , 124.3811
0.3977 , 124.8301
0.4475 , 125.5036
0.4998 , 126.1772
0.5484 , 126.6262
0.5982 , 127.0752
0.6492 , 127.5243
0.6978 , 128.1978
0.7476 , 128.8714
0.7987 , 129.7694
0.8193 , 130.2184
0.8485 , 131.1165
0.8728 , 131.7900
0.8983 , 133.0249
0.9226 , 134.9333
0.9699 , 142.7913
